clues,clues_nombre,jurisdiccion,caravana_region,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega,lista_base_id,created_at,updated_at
CSSSA004945,HOSPITAL GENERAL PICHUCALCO,5,NULL,PICHUCALCO,PICHUCALCO,HOSPITAL GENERAL,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dra. Trinidad Vera Juan,LCP. Mario Gutierrez Velasco,Lic. Jose Javier Diaz Eliaz,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen Hospital Pichucalco,NULL,NULL,NULL
CSSSA018875,HOSPITAL GENERAL BICENTENARIO VILLAFLORES,4,NULL,VILLAFLORES,VILLAFLORES,HOSPITAL GENERAL,exfarma,3,"EXFARMA, S.A. DE C.V.",DR. MARCO ANTONIO MORENO GOMEZ,C.P. SERGIO OVANDO LOPEZ,LIC. MAYRA ALEJANDRA SIBAJA DOMINGUEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL GENERAL BICENTENARIO DE VILLAFLORES,NULL,NULL,NULL
CSSSA007540,HOSPITAL REGIONAL DR. RAFAEL PASCASIO GAMBOA TUXTLA,1,NULL,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,HOSPITAL GENERAL,exfarma,3,"EXFARMA, S.A. DE C.V.",DR. ZEIN NAZAR MORALES,C.P. CARLOS LUIS DE LOS SANTOS DOMINGUEZ,LIC. RAMON GONZALO LOPEZ AGUILAR,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL DE LA MUJER TUXTLA,NULL,NULL,NULL
CSSSA019645,H. B. C. DE OCOSINGO,9,NULL,OCOSINGO,OCOSINGO,HOSPITAL BÁSICO COMUNITARIO,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CARLOS MARTÍN RÍOS AGUILAR,LIC. MARCO ANTONIO ZENTENO SANCHEZ,LIC. ELISEO PINTO MORRISON,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,TUXTLA GUTIERREZ; CHIAPAS,NULL,NULL,NULL
CSSSA000453,HOSPITAL GENERAL JUÁREZ DE ARRIAGA,8,NULL,ARRIAGA,ARRIAGA,HOSPITAL GENERAL,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr. Alejandro Exzacarias Farrera,Luis Ivan Martinez Lopez,Nury Yaneth Hernandez Lopez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Hospital de Arriaga,NULL,NULL,NULL
CSSSA002611,HOSPITAL GENERAL HUIXTLA,7,NULL,HUIXTLA,HUIXTLA,HOSPITAL GENERAL,exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Víctor Hugo Mendoza Mérida,Lic Mayra Roblero Pacheco,Ever Chacón Baneco,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen de Hospital de Huixtla,NULL,NULL,NULL
CSSSA017382,ALMACÉN JURISDICCIONAL (PALENQUE),6,NULL,PALENQUE,PALENQUE,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Director,Administrador,Encargado,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen Jurisdiccional Palenque,NULL,NULL,NULL
CSSSA006934,H. B. C. DE TILA,6,NULL,TILA,TILA,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. SERGIO ROBERTO SOBRINO RAMÍREZ,LIC. NELSON RAMÍREZ VÁZQUEZ,LIC. ERICK E. RAMÍREZ VÁZQUEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL H.B.C. DE TÍLA,NULL,NULL,NULL
CSSSA007074,HOSPITAL GENERAL DR. JUAN C. CORZO TONALÁ,8,NULL,TONALÁ,TONALÁ,"HOSPITAL GENERAL
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR SERGIO LUIS OROZCO CARRASCO,C.P ELEASIN RAMIREZ GUTIERREZ,C.P GUILLERMO HERNANDEZ AGUILAR,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HOSPITAL GENERAL DE TONALA,NULL,NULL,NULL
CSSSA017591,RAFAEL PASCACIO GAMBOA,5,NULL,REFORMA,RAFAEL PASCACIO GAMBOA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL,NULL,NULL,NULL
