id,llave,proveedor,pedido,requisicion,lote,clave,descripcion,marca,unidad,cantidad,precio,tipo,cause,controlado
1,P-16-0001|disur|1,disur,P-16-0001,299,1,010.000.0101.00,ÁCIDO ACETILSALICÍLICO TABLETA. Cada tableta contiene: Ácido acetilsalicilico 500 mg.,GENERICO,Envase con 20 tabletas.,1,6.25,1,1,0
2,P-16-0001|disur|2,disur,P-16-0001,299,2,010.000.0103.00,ÁCIDO ACETILSALICÍLICO TABLETA SOLUBLE O EFERVESCENTE. Cada tableta soluble o efervescente contiene: Ácido acetilsalicílico 300 mg. ,GENERICO,Envase con 20 tabletas solubles o efervescentes.,1,3.88,1,1,0
3,P-16-0001|disur|3,disur,P-16-0001,299,3,010.000.0104.00,PARACETAMOL TABLETA. Cada tableta contiene: Paracetamol 500 mg.,GENERICO,Envase con 10 tabletas.,1,2.52,1,1,0
4,P-16-0001|disur|4,disur,P-16-0001,299,4,010.000.0105.00,PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 300 mg.,GENERICO,Envase con 3 supositorios.,1,3.4,1,1,0
5,P-16-0001|disur|5,disur,P-16-0001,299,5,010.000.0106.00,"PARACETAMOL SOLUCIÓN ORAL. Cada ml. contiene: Paracetamol 100 mg. Envase con 15 ml, gotero calibrado a 0.5 y 1 ml, integrado o adjunto al envase que sirve de tapa.",GENERICO,ENVASE,1,3.05,1,1,0
6,P-16-0001|disur|6,disur,P-16-0001,299,6,010.000.0108.00,METAMIZOL SÓDICO COMPRIMIDO. Cada comprimido contiene: Metamizol sodico 500 mg.,GENERICO,Envase con 10 comprimidos.,1,3.09,1,1,0
7,P-16-0001|disur|7,disur,P-16-0001,299,7,010.000.0109.00,"METAMIZOL SÓDICO, SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Metamizol sodico 1g.",GENERICO,Envase con 3 ampolletas con 2 ml.,1,6.2,1,1,0
8,P-16-0001|disur|8,disur,P-16-0001,299,8,010.000.0204.00,ATROPINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Sulfato de atropina 1 mg. Envase con 50 ampolletas con 1 ml.,GENERICO,Envase,1,93.22,1,1,0
9,P-16-0001|disur|9,disur,P-16-0001,299,9,010.000.0233.00,SEVOFLURANO LÍQUIDO O SOLUCIÓN. Cada envase contiene: Sevoflurano 250 ml. Envase con 250 ml. de lÍquido o solución.,GENERICO,Envase,1,909.05,1,1,1
10,P-16-0001|disur|10,disur,P-16-0001,299,10,010.000.0234.00,DESFLURANO LÍQUIDO. Cada envase contiene: Desflurano 240 ml. Envase con 240 ml.,SUPRANE,Envase,1,1633.5,1,1,1
11,P-16-0001|disur|11,disur,P-16-0001,299,11,010.000.0246.00,PROPOFOL EMULSIÓN INYECTABLE. Cada ampolleta o frasco ámpula contiene: Propofol 200 mg. En emulsión con edetato disódico (dihidratado). Envase con 5 ampolletas o frascos ámpula de 20 ml.,GENERICO,Envase,1,629.99,1,1,1
12,P-16-0001|disur|12,disur,P-16-0001,299,12,010.000.0247.00,DEXMEDETOMIDINA SOLUCIÓN INYECTABLE. Cada frasco ámpula contiene: Clorhidrato de dexmedetomidina 200 µg. Envase con 1 frasco ámpula.,GENERICO,Envase,1,877.5,1,1,1
13,P-16-0001|disur|13,disur,P-16-0001,299,13,010.000.0252.00,"CLORURO DE SUXAMETONIO, SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Cloruro de suxametonio 40 mg. Envase con 5 ampolletas con 2 ml.",GENERICO,Envase,1,203.53,1,1,1
